customer_id,product_category,base_price,discount_percentage,promotion_exposure,season,final_price,purchase_frequency,avg_order_value
67,Accessories,687,20,8,Non-Sale,549.6,2,300.7394146618556
68,Men Apparel,4544,0,9,Non-Sale,4544.0,2,4841.366654853069
69,Accessories,4256,40,4,Non-Sale,2553.6,3,1928.94540714959
70,Women Apparel,2515,10,7,Sale,2263.5,2,2346.988813826625
71,Women Apparel,2592,40,1,Non-Sale,1555.2,4,1039.8086500244785
72,Women Apparel,4144,40,2,Sale,2486.4,4,1920.7983643578718
73,Men Apparel,2630,40,6,Sale,1578.0,2,1701.1649192216366
74,Women Apparel,857,20,9,Non-Sale,685.6,0,322.4499894745438
75,Men Apparel,2922,30,3,Non-Sale,2045.3999999999999,4,2254.579363548169
76,Women Apparel,4757,30,8,Sale,3329.8999999999996,3,3619.142284759201
77,Accessories,1997,0,6,Non-Sale,1997.0,2,1862.8765949147605
78,Accessories,2658,30,0,Sale,1860.6,4,2007.1764292589282
79,Footwear,3055,0,3,Sale,3055.0,2,3497.077777851965
80,Accessories,2842,20,9,Non-Sale,2273.6,3,1986.0863982615465
81,Footwear,3451,10,5,Sale,3105.9,2,3364.3931090134893
82,Accessories,1738,10,5,Non-Sale,1564.2,2,1330.8121141596826
83,Men Apparel,1473,20,9,Non-Sale,1178.4,5,1179.4247837375672
84,Accessories,4465,20,5,Non-Sale,3572.0,3,3385.2275390607642
85,Footwear,1550,30,4,Sale,1085.0,6,909.3222521384447
86,Footwear,4201,0,2,Sale,4201.0,5,4093.116832063383
87,Women Apparel,3280,20,1,Sale,2624.0,2,2444.2532238982485
88,Men Apparel,2088,10,2,Non-Sale,1879.2,0,1839.799813597408
89,Accessories,4378,20,8,Sale,3502.4,3,3852.9877077294764
90,Women Apparel,2868,30,2,Sale,2007.6,4,1594.3819607233
91,Accessories,936,20,2,Non-Sale,748.8000000000001,0,877.3718194003768
92,Accessories,3328,30,0,Non-Sale,2329.6,4,2006.082035216551
93,Women Apparel,2056,10,1,Non-Sale,1850.4,2,1545.2130835404942
94,Women Apparel,4358,30,2,Non-Sale,3050.6,3,2494.038716147831
95,Women Apparel,1804,20,1,Sale,1443.2,3,1766.1458452726042
96,Women Apparel,2884,20,7,Sale,2307.2000000000003,3,2234.8049453058075
97,Women Apparel,682,30,5,Sale,477.4,3,207.693794999602
98,Accessories,2089,0,6,Sale,2089.0,3,2127.9307282637933
99,Women Apparel,2087,30,0,Non-Sale,1460.8999999999999,2,1356.2065257310069
100,Men Apparel,1159,30,5,Sale,811.3,3,1141.7011109831637
101,Footwear,659,10,1,Non-Sale,593.1,0,287.7502266721237
102,Women Apparel,4453,0,5,Sale,4453.0,6,4410.587203711717
103,Women Apparel,1511,0,2,Sale,1511.0,3,1766.1313738534795
104,Accessories,552,40,6,Non-Sale,331.2,5,200.0
105,Women Apparel,2807,30,2,Sale,1964.8999999999999,3,1826.5188588820422
106,Women Apparel,1728,0,8,Non-Sale,1728.0,2,1344.7182676475475
107,Women Apparel,1535,20,2,Non-Sale,1228.0,3,967.4926080145846
108,Accessories,4202,20,6,Non-Sale,3361.6000000000004,2,2895.3235887271558
109,Women Apparel,4545,40,3,Sale,2727.0,3,2408.808716278054
110,Footwear,4949,0,7,Non-Sale,4949.0,4,4556.11175793403
111,Accessories,1764,10,1,Sale,1587.6000000000001,2,1387.2376473636946
112,Footwear,2384,40,7,Non-Sale,1430.3999999999999,2,1722.0271688683786
113,Accessories,2309,0,8,Sale,2309.0,4,2392.9901411375045
114,Women Apparel,3667,10,7,Sale,3300.3,2,3689.4411759634436
115,Footwear,4297,50,5,Non-Sale,2148.5,3,2032.3101770594938
116,Accessories,2841,30,9,Sale,1988.6999999999998,4,1719.58585928603
117,Men Apparel,3914,10,0,Non-Sale,3522.6,0,3484.425577048117
118,Women Apparel,1317,0,6,Sale,1317.0,5,1134.7425878695244
119,Accessories,2937,0,0,Non-Sale,2937.0,1,3060.202100212679
120,Men Apparel,1388,10,6,Non-Sale,1249.2,1,797.8448743087412
121,Accessories,1167,40,1,Sale,700.1999999999999,3,678.4960805254416
122,Men Apparel,3124,20,7,Non-Sale,2499.2000000000003,2,2950.32663143533
123,Women Apparel,4732,30,1,Non-Sale,3312.3999999999996,4,3036.051107333606
124,Footwear,1318,40,2,Non-Sale,790.8,2,658.4671044215274
125,Men Apparel,2688,20,2,Sale,2150.4,2,1632.2432690775659
126,Accessories,1606,10,0,Non-Sale,1445.4,1,1778.217744269732
127,Women Apparel,2724,20,4,Sale,2179.2000000000003,2,2149.734712975428
128,Men Apparel,697,40,4,Sale,418.2,3,262.1820862823432
129,Accessories,3171,40,9,Sale,1902.6,8,1916.8267803587544
130,Accessories,3992,0,4,Non-Sale,3992.0,1,3970.692455002295
131,Accessories,2948,30,8,Non-Sale,2063.6,5,1853.3602320832913
132,Men Apparel,970,20,5,Sale,776.0,4,354.6203356766807
133,Men Apparel,2448,40,5,Non-Sale,1468.8,4,1514.9732579466045
134,Men Apparel,4399,0,2,Non-Sale,4399.0,2,4403.449301454528
135,Footwear,2510,20,4,Sale,2008.0,2,1891.679713370145
136,Men Apparel,4300,40,9,Non-Sale,2580.0,2,2488.3340017112105
137,Men Apparel,4618,20,6,Sale,3694.4,3,4018.5872459340358
138,Men Apparel,4296,20,2,Sale,3436.8,4,3524.0126188416502
139,Footwear,4488,0,1,Sale,4488.0,1,4090.207282716793
140,Men Apparel,734,10,4,Non-Sale,660.6,0,1047.411264632414
141,Accessories,1428,10,2,Non-Sale,1285.2,3,1489.4245028240848
142,Men Apparel,4107,40,4,Sale,2464.2,5,2646.97182364796
143,Accessories,1022,10,8,Sale,919.8000000000001,2,681.8266037586997
144,Accessories,4023,20,9,Non-Sale,3218.4,2,3474.542699085867
145,Accessories,2129,30,0,Non-Sale,1490.3,3,1544.4599452434804
146,Footwear,1816,10,3,Non-Sale,1634.4,3,1285.9095912574383
147,Footwear,3357,20,9,Non-Sale,2685.6000000000004,0,2771.943640225869
148,Footwear,1624,30,4,Non-Sale,1136.8,2,1422.3612954569626
149,Men Apparel,3087,40,1,Non-Sale,1852.1999999999998,3,2022.65013675209
150,Accessories,1523,30,1,Non-Sale,1066.1,4,526.1209671892797
151,Footwear,1878,30,0,Sale,1314.6,4,1434.4570345772372
152,Footwear,3874,0,7,Non-Sale,3874.0,4,3764.8593948878097
153,Men Apparel,2019,40,1,Sale,1211.3999999999999,3,645.9013452027024
154,Footwear,726,0,2,Sale,726.0,2,920.799307156037
155,Men Apparel,1391,30,1,Sale,973.6999999999999,3,1178.6057369549223
156,Women Apparel,4572,10,3,Non-Sale,4114.8,3,4105.422759925153
157,Footwear,2757,40,0,Non-Sale,1654.2,3,1348.271833560239
158,Women Apparel,3288,30,2,Non-Sale,2301.6,6,2719.7108745652436
159,Men Apparel,896,30,4,Sale,627.1999999999999,5,791.4924850512864
160,Accessories,2578,10,9,Non-Sale,2320.2000000000003,1,2501.4444021997037
161,Footwear,4924,20,0,Sale,3939.2000000000003,5,4215.652291581848
162,Men Apparel,3737,30,3,Non-Sale,2615.8999999999996,2,2979.627149939888
163,Accessories,4393,30,5,Sale,3075.1,3,3171.9610054159702
164,Accessories,2505,0,3,Non-Sale,2505.0,1,2163.4795443896173
165,Women Apparel,2516,50,6,Non-Sale,1258.0,1,1052.194562236491
166,Men Apparel,3671,40,6,Non-Sale,2202.6,2,2046.7327250515461
167,Accessories,3168,10,5,Non-Sale,2851.2000000000003,3,3215.935181357509
168,Footwear,2378,40,8,Non-Sale,1426.8,7,1491.2848797460956
169,Footwear,1696,20,1,Sale,1356.8000000000002,5,1151.506751499904
170,Women Apparel,2272,20,9,Non-Sale,1817.6000000000001,4,1757.8545708051151
171,Accessories,661,10,7,Non-Sale,594.9,2,991.7289680894639
172,Men Apparel,4476,20,7,Non-Sale,3580.8,2,3765.1301238434326
173,Footwear,2251,30,9,Sale,1575.6999999999998,3,1888.5180884231188
174,Accessories,1275,20,3,Non-Sale,1020.0,2,685.3100189684379
175,Accessories,1439,30,5,Sale,1007.3,3,944.4821433857525
176,Women Apparel,3720,30,5,Sale,2604.0,5,2411.69551291679
177,Footwear,1039,30,4,Non-Sale,727.3,3,1177.8567403575832
178,Footwear,1961,0,0,Non-Sale,1961.0,2,1919.6639063981497
179,Men Apparel,855,40,2,Sale,513.0,6,340.8342326193221
180,Footwear,4104,20,6,Non-Sale,3283.2000000000003,3,2681.3353801184016
181,Men Apparel,3823,10,7,Sale,3440.7000000000003,2,3863.9071293419015
182,Footwear,734,10,1,Non-Sale,660.6,2,1098.3849136236595
183,Women Apparel,2048,20,2,Non-Sale,1638.4,3,1022.6312167889835
184,Footwear,2596,40,3,Non-Sale,1557.6,6,1621.3584045092343
185,Men Apparel,4713,20,4,Non-Sale,3770.4,2,4054.3689081990137
186,Men Apparel,2601,30,2,Sale,1820.6999999999998,3,1963.8193663346142
187,Women Apparel,2173,0,4,Sale,2173.0,2,2042.1889505589295
188,Footwear,2600,20,7,Non-Sale,2080.0,2,1796.149879342834
189,Footwear,4157,50,7,Sale,2078.5,2,2428.943729994821
190,Women Apparel,4096,30,1,Non-Sale,2867.2,3,3098.405965003683
191,Footwear,4248,10,5,Non-Sale,3823.2000000000003,3,4014.5683080510357
192,Footwear,3673,20,3,Sale,2938.4,2,3289.817410953201
193,Men Apparel,2315,10,8,Non-Sale,2083.5,1,2739.3550629890397
194,Footwear,4341,20,9,Sale,3472.8,1,3375.0521902572655
195,Footwear,2505,30,1,Sale,1753.5,2,1656.3401358511983
196,Women Apparel,4993,30,7,Sale,3495.1,4,3373.76420791035
197,Women Apparel,1174,10,0,Non-Sale,1056.6000000000001,2,779.7931780860188
198,Accessories,886,40,5,Sale,531.6,2,889.9207285206281
199,Men Apparel,2658,20,9,Sale,2126.4,3,2529.6769311946905
200,Footwear,3161,20,0,Sale,2528.8,6,2848.429510841895
201,Footwear,2564,20,1,Sale,2051.2000000000003,4,2551.2725164610683
202,Accessories,4351,30,2,Sale,3045.7,5,3076.1135977158187
203,Footwear,3753,20,8,Non-Sale,3002.4,5,3115.0716559197103
204,Men Apparel,4766,20,4,Non-Sale,3812.8,2,4008.5308817662685
205,Accessories,1239,20,9,Sale,991.2,6,865.2150774119668
206,Men Apparel,1901,10,9,Non-Sale,1710.9,1,1389.889916253465
207,Accessories,3759,40,1,Non-Sale,2255.4,3,2298.9244066018173
208,Accessories,2777,20,9,Sale,2221.6,4,2081.6280751992313
209,Women Apparel,4404,0,4,Sale,4404.0,1,5054.715456769584
210,Men Apparel,4423,30,4,Non-Sale,3096.1,3,2649.258076743651
211,Footwear,4714,40,0,Non-Sale,2828.4,3,2810.699245477978
212,Footwear,3727,40,2,Sale,2236.2,5,2323.004301716313
213,Men Apparel,3331,20,4,Sale,2664.8,5,2415.817087931984
214,Footwear,4258,0,8,Sale,4258.0,6,4120.259583307257
215,Footwear,3012,20,9,Sale,2409.6,3,2427.7340317222806
216,Men Apparel,2651,0,0,Non-Sale,2651.0,1,2303.045357548207
217,Accessories,4175,40,7,Non-Sale,2505.0,4,2627.4160050897626
218,Men Apparel,3245,10,0,Non-Sale,2920.5,3,3393.7910621278993
219,Accessories,4366,10,8,Sale,3929.4,4,3815.745371957681
220,Footwear,4264,20,5,Sale,3411.2000000000003,5,3641.6187119926353
221,Footwear,2722,20,0,Sale,2177.6,3,2689.9626844721197
222,Footwear,3292,30,7,Non-Sale,2304.3999999999996,3,2606.4206529119656
223,Women Apparel,2197,20,4,Non-Sale,1757.6000000000001,0,1539.4869274074072
224,Accessories,3962,10,6,Sale,3565.8,3,3104.5057694247257
225,Women Apparel,4563,10,6,Sale,4106.7,2,4013.3791278830054
226,Women Apparel,2024,20,6,Non-Sale,1619.2,3,1636.9147387187356
227,Men Apparel,532,0,5,Non-Sale,532.0,2,200.0
228,Women Apparel,4525,30,7,Sale,3167.5,5,3175.901678026805
229,Men Apparel,3066,20,8,Sale,2452.8,5,2204.8494058393244
230,Men Apparel,3303,30,1,Sale,2312.1,3,2276.4014184242164
231,Women Apparel,4396,40,6,Non-Sale,2637.6,3,2544.0930575077314
232,Accessories,4209,40,1,Non-Sale,2525.4,3,2463.371319200303
233,Accessories,1219,40,5,Non-Sale,731.4,2,956.8999630160214
234,Accessories,1472,10,1,Non-Sale,1324.8,3,1025.0043849945184
235,Accessories,4218,0,9,Non-Sale,4218.0,3,3669.1242153414473
236,Accessories,4902,10,5,Sale,4411.8,3,4660.703958099496
237,Women Apparel,2707,40,1,Sale,1624.2,3,1818.2745332929956
238,Women Apparel,4926,50,0,Non-Sale,2463.0,4,2624.4259700477073
239,Footwear,4820,40,6,Sale,2892.0,6,2626.369413015025
240,Accessories,3530,0,2,Non-Sale,3530.0,2,3713.267125147442
241,Women Apparel,4075,40,3,Non-Sale,2445.0,4,2060.9408256223746
242,Footwear,3616,20,5,Non-Sale,2892.8,0,2802.3956589839363
243,Accessories,3785,0,4,Sale,3785.0,3,4240.161907961685
244,Men Apparel,1143,20,3,Sale,914.4000000000001,3,1093.6869433221134
245,Footwear,694,0,8,Sale,694.0,3,672.1183326461685
246,Women Apparel,4496,20,5,Non-Sale,3596.8,1,3553.596352960992
247,Men Apparel,988,10,5,Sale,889.2,2,558.702158997527
248,Men Apparel,2704,20,1,Sale,2163.2000000000003,4,2649.2557255814772
249,Men Apparel,3157,30,5,Sale,2209.8999999999996,4,2513.142527730651
250,Footwear,3776,40,6,Non-Sale,2265.6,2,2505.016073835669
251,Women Apparel,1602,30,7,Non-Sale,1121.3999999999999,2,1093.559639190014
252,Men Apparel,1741,20,7,Non-Sale,1392.8000000000002,0,1283.5077508640834
253,Accessories,1015,40,8,Non-Sale,609.0,2,381.1789166428015
254,Men Apparel,892,40,9,Non-Sale,535.1999999999999,4,964.5548221727943
255,Men Apparel,1130,0,2,Sale,1130.0,3,586.0965252381452
256,Footwear,4216,20,9,Sale,3372.8,1,3542.781562243902
257,Footwear,2347,10,6,Non-Sale,2112.3,1,1639.4987919244
258,Women Apparel,3155,0,6,Non-Sale,3155.0,3,3094.177107726454
259,Accessories,1479,30,0,Sale,1035.3,3,1027.8207491765675
260,Footwear,3902,40,7,Sale,2341.2,6,1957.2437258505397
261,Men Apparel,4371,10,3,Non-Sale,3933.9,2,3677.5157313369195
262,Women Apparel,777,40,4,Sale,466.2,5,684.8463449731767
263,Men Apparel,732,40,5,Non-Sale,439.2,2,882.7776350751437
264,Men Apparel,2052,40,2,Sale,1231.2,4,1324.9468828112863
265,Footwear,3770,10,4,Sale,3393.0,3,3186.792951859296
266,Women Apparel,2909,40,9,Sale,1745.3999999999999,2,1455.0551085566804
267,Accessories,4012,10,4,Non-Sale,3610.8,4,3388.6387753279378
268,Accessories,525,20,0,Non-Sale,420.0,3,413.35709319626346
269,Footwear,960,0,2,Sale,960.0,4,1037.375007140618
270,Footwear,4264,0,2,Non-Sale,4264.0,1,4632.359280382574
271,Women Apparel,3931,30,0,Sale,2751.7,4,2729.749933752687
272,Accessories,3983,20,6,Sale,3186.4,4,2987.6047216778857
273,Accessories,2494,10,0,Non-Sale,2244.6,3,1906.3899679003641
274,Accessories,990,10,6,Sale,891.0,3,828.3144842984543
275,Men Apparel,1572,30,3,Non-Sale,1100.3999999999999,3,605.8304339071985
276,Accessories,3673,0,8,Non-Sale,3673.0,1,3491.6811355084806
277,Men Apparel,715,40,6,Non-Sale,429.0,4,200.0
278,Women Apparel,2223,0,4,Non-Sale,2223.0,2,2145.183414389294
279,Men Apparel,2092,10,6,Non-Sale,1882.8,2,2019.5928519064505
280,Women Apparel,3106,20,8,Sale,2484.8,4,2598.8845414407515
281,Accessories,658,20,9,Sale,526.4,2,731.5927529965306
282,Accessories,3813,20,5,Sale,3050.4,4,2772.9805538229202
283,Women Apparel,3341,10,0,Non-Sale,3006.9,0,3432.2113864803537
284,Footwear,2276,50,5,Sale,1138.0,5,1337.825257504147
285,Women Apparel,2552,30,0,Non-Sale,1786.3999999999999,4,1975.2362268638494
286,Footwear,2795,0,3,Non-Sale,2795.0,3,3132.8094380439857
287,Men Apparel,2196,20,7,Non-Sale,1756.8000000000002,3,1809.7595282426364
288,Men Apparel,3493,40,4,Non-Sale,2095.7999999999997,4,2061.093207818979
289,Men Apparel,2969,10,4,Non-Sale,2672.1,2,3076.6231224378757
290,Accessories,2446,0,9,Sale,2446.0,1,2195.290747772747
291,Men Apparel,4309,30,7,Non-Sale,3016.2999999999997,5,2952.8291199622468
292,Footwear,3283,30,7,Sale,2298.1,4,2645.242371981995
293,Men Apparel,4144,20,0,Sale,3315.2000000000003,4,3252.5845975775014
294,Women Apparel,3000,0,4,Non-Sale,3000.0,2,2823.758894709971
295,Women Apparel,4145,0,4,Non-Sale,4145.0,0,3861.681463831092
296,Accessories,3145,30,7,Non-Sale,2201.5,4,2272.945568157191
297,Women Apparel,2849,10,0,Non-Sale,2564.1,2,2435.4561184787726
298,Footwear,2432,20,6,Non-Sale,1945.6000000000001,2,2092.300690745746
299,Men Apparel,3794,20,6,Sale,3035.2000000000003,2,3527.73641044918
300,Accessories,2257,10,8,Non-Sale,2031.3,2,2353.140204691139
301,Men Apparel,1616,40,1,Non-Sale,969.5999999999999,5,272.4269620103569
302,Men Apparel,3067,40,2,Non-Sale,1840.2,3,2055.3549795117037
303,Footwear,3999,30,3,Sale,2799.2999999999997,2,3035.5339576055753
304,Women Apparel,992,0,0,Sale,992.0,2,902.5549745293437
305,Women Apparel,3806,0,6,Non-Sale,3806.0,1,4179.249740682007
306,Men Apparel,1119,20,9,Sale,895.2,3,983.6591628402359
307,Accessories,3732,10,2,Non-Sale,3358.8,2,2775.726358708189
308,Women Apparel,4323,50,2,Sale,2161.5,6,2204.0156185086953
309,Accessories,2880,10,2,Sale,2592.0,7,2510.5465034861886
310,Women Apparel,2046,20,7,Non-Sale,1636.8000000000002,2,1448.1895912579146
311,Accessories,4063,20,8,Sale,3250.4,3,3359.2486675249966
312,Footwear,2105,30,9,Non-Sale,1473.5,2,1668.7021879799015
313,Accessories,4252,0,1,Sale,4252.0,1,4452.768168942915
314,Footwear,2390,20,9,Sale,1912.0,3,2121.86966610213
315,Footwear,1775,10,9,Sale,1597.5,2,1250.8089057086916
316,Accessories,3243,40,0,Non-Sale,1945.8,3,1627.3543253389264
317,Footwear,2993,0,8,Sale,2993.0,4,3073.845438056372
318,Men Apparel,856,40,5,Non-Sale,513.6,3,837.0279939935374
319,Footwear,1369,40,8,Non-Sale,821.4,2,927.4609941749945
320,Women Apparel,1385,10,5,Non-Sale,1246.5,3,614.7420458599233
321,Accessories,2501,30,1,Non-Sale,1750.6999999999998,3,1914.8289944905287
322,Men Apparel,1783,0,0,Sale,1783.0,2,1315.7491620205078
323,Accessories,1119,50,7,Sale,559.5,7,765.1730803029736
324,Women Apparel,1382,20,2,Non-Sale,1105.6000000000001,3,938.2942992893397
325,Women Apparel,1296,10,0,Sale,1166.4,3,1257.1478133601047
326,Women Apparel,4142,20,7,Non-Sale,3313.6000000000004,1,3944.6941711367836
327,Footwear,3925,0,0,Non-Sale,3925.0,3,3819.0679274336767
328,Footwear,1796,50,7,Sale,898.0,3,671.60078313786
329,Accessories,744,0,0,Non-Sale,744.0,2,613.7516967328057
330,Accessories,3395,30,8,Non-Sale,2376.5,2,1925.730379683399
331,Men Apparel,1429,20,8,Sale,1143.2,3,841.9849242133074
332,Men Apparel,1019,40,8,Non-Sale,611.4,2,931.0074365033959
333,Accessories,3712,10,2,Sale,3340.8,3,2748.859245609099
334,Footwear,2909,20,3,Non-Sale,2327.2000000000003,3,2138.9410350439084
335,Women Apparel,507,20,4,Non-Sale,405.6,2,477.48791892468626
336,Accessories,3025,30,5,Non-Sale,2117.5,2,1994.6307496429956
337,Men Apparel,3923,0,8,Non-Sale,3923.0,4,4327.913744309442
338,Footwear,2519,10,3,Non-Sale,2267.1,3,2217.0602984461248
339,Accessories,4782,10,5,Non-Sale,4303.8,0,4202.124410347121
340,Accessories,4167,30,0,Non-Sale,2916.8999999999996,2,2961.667520618536
341,Footwear,4171,10,1,Non-Sale,3753.9,0,3835.4162372903156
342,Accessories,3301,20,7,Non-Sale,2640.8,1,2640.812604771276
343,Footwear,585,10,3,Non-Sale,526.5,2,505.01522729229805
344,Women Apparel,3615,40,9,Non-Sale,2169.0,5,1582.813879603224
345,Footwear,4732,40,6,Non-Sale,2839.2,2,2500.160335228905
346,Footwear,2968,20,3,Non-Sale,2374.4,2,2547.524196610624
347,Footwear,4119,20,8,Sale,3295.2000000000003,5,3597.54927128244
348,Accessories,2136,10,8,Non-Sale,1922.4,2,2305.6092946661033
349,Accessories,4083,0,3,Non-Sale,4083.0,2,3649.9048472243917
350,Footwear,4509,10,7,Non-Sale,4058.1,2,3806.876063738045
351,Accessories,3826,30,5,Sale,2678.2,7,3127.096073857632
352,Men Apparel,2718,20,0,Non-Sale,2174.4,2,2060.1191689005545
353,Men Apparel,2717,40,6,Sale,1630.2,2,1815.5135374505705
354,Accessories,2869,20,0,Sale,2295.2000000000003,4,3305.431605520379
355,Accessories,4138,30,2,Non-Sale,2896.6,5,3211.542532419938
356,Footwear,3003,20,7,Non-Sale,2402.4,3,2337.4979682245907
357,Women Apparel,1443,20,8,Sale,1154.4,3,1112.1486715781168
358,Accessories,3337,10,2,Non-Sale,3003.3,2,3161.2832687166983
359,Men Apparel,3160,20,0,Sale,2528.0,6,1951.8158020333071
360,Footwear,3436,20,0,Sale,2748.8,3,2881.138097092123
361,Accessories,4944,30,6,Sale,3460.7999999999997,5,3377.7834737956964
362,Men Apparel,4447,40,4,Non-Sale,2668.2,5,2644.970045420866
363,Men Apparel,2176,10,0,Sale,1958.4,3,1990.1377519145515
364,Women Apparel,1696,0,5,Sale,1696.0,2,2165.714414321268
365,Footwear,4605,20,5,Non-Sale,3684.0,3,3760.938963482092
366,Footwear,3287,20,3,Sale,2629.6000000000004,3,2700.010044648676
367,Women Apparel,1961,10,6,Non-Sale,1764.9,1,1979.4191817355882
368,Women Apparel,3818,30,6,Non-Sale,2672.6,3,2694.4478664287217
369,Footwear,1166,50,8,Non-Sale,583.0,2,781.4985572101284
370,Footwear,2676,40,0,Sale,1605.6,5,1571.6143244976483
371,Accessories,4243,10,4,Non-Sale,3818.7000000000003,2,4167.70008513204
372,Accessories,1100,40,9,Non-Sale,660.0,2,1043.5179462259412
373,Women Apparel,3152,30,2,Sale,2206.3999999999996,5,2408.1717743996337
374,Accessories,4922,20,6,Sale,3937.6000000000004,2,3249.7354704040636
375,Men Apparel,4324,20,3,Non-Sale,3459.2000000000003,1,3511.780869284989
376,Accessories,4406,40,3,Sale,2643.6,4,2066.359552023019
377,Accessories,1479,20,0,Non-Sale,1183.2,3,1297.652929530473
378,Men Apparel,2951,20,0,Non-Sale,2360.8,2,2841.799800608368
379,Women Apparel,1128,20,9,Sale,902.4000000000001,5,1245.1433769018317
